trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,13,16,8,16,0.2
2,50,16,8,8,0.2
3,33,16,16,8,0.2
4,19,16,8,8,0.2
5,26,8,16,8,0.2
6,21,16,16,8,0.2
7,12,8,16,8,0.2
8,36,8,16,16,0.2
9,31,8,8,8,0.2
10,30,16,8,8,0.1
11,6,8,16,8,0.3
12,27,8,16,16,0.1
13,5,16,16,16,0.3
14,36,8,8,16,0.1
15,49,8,8,8,0.3
16,17,8,16,8,0.3
17,35,8,16,16,0.1
18,37,8,16,16,0.1
19,40,8,16,16,0.1
20,24,8,8,16,0.2
21,12,8,16,16,0.3
22,6,8,16,8,0.1
23,26,8,16,16,0.3
24,38,16,16,16,0.1
25,10,8,8,16,0.1
26,33,16,8,16,0.3
27,13,16,8,16,0.3
28,20,16,16,16,0.2
29,49,16,16,16,0.2
30,20,8,16,16,0.1
31,50,8,8,8,0.3
32,7,16,8,8,0.2
33,17,16,16,8,0.3
34,22,16,16,8,0.1
35,9,8,8,16,0.1
36,38,8,16,8,0.3
37,46,8,8,16,0.3
38,23,8,16,16,0.2
39,47,16,8,16,0.3
40,12,16,16,8,0.1
41,5,16,8,16,0.3
42,38,16,16,16,0.3
43,49,16,8,16,0.2
44,21,8,16,8,0.3
45,36,8,8,8,0.1
46,18,16,16,8,0.2
47,47,8,16,8,0.1
48,42,16,8,16,0.3
49,23,8,16,8,0.2
