,mae,ssim,hist
0,0.3741443319960404,0.23328584903116115,0.145
1,0.36206718427006224,0.2525100704757332,0.134
2,0.36552766526125663,0.29057880321519225,0.19
3,0.3623977746495321,0.2861668104492468,0.252
4,0.34998032724972455,0.30737977297206515,0.258
5,0.3774390973368679,0.24635990060579907,0.112
6,0.36818693610941045,0.2551764249573252,0.145
7,0.3610816398563209,0.30678006437713984,0.258
8,0.35575468129034943,0.27396363938215273,0.261
9,0.37544051816860974,0.24450428755086862,0.176
10,0.3658622356452245,0.28532404576570447,0.301
11,0.3685729295059808,0.27791624978041973,0.247
12,0.36417989467239964,0.27889359180616463,0.088
13,0.36359930400866286,0.25000859064211645,0.096
14,0.3650430509134732,0.2780715408382881,0.263
15,0.36344876263398257,0.24333026744414496,0.158
16,0.35995703276954855,0.28700753581779037,0.199
17,0.3684910572260056,0.2545480906831401,0.244
18,0.36403365892409156,0.2846063661131914,0.241
19,0.3691454243265905,0.2871589963650167,0.216
20,0.363422475206586,0.27062323966748447,0.184
21,0.3625642933500689,0.27873250267862204,0.277
22,0.3647510843306587,0.2843531721712391,0.195
23,0.3636517159687639,0.26342974205879677,0.231
24,0.36847813067606594,0.23423937995454674,0.162
25,0.3665158940029577,0.25775749831743305,0.2
26,0.3718382391974391,0.2627525579675874,0.19
27,0.372977972285589,0.2731173263311914,0.21
28,0.37670016805874434,0.25180926180584406,0.267
29,0.3697409148541497,0.24234892717407946,0.214
30,0.36246017422690774,0.2745193633570585,0.197
31,0.38246478910363646,0.2675378685280707,0.196
32,0.36387901622447777,0.28822779111000907,0.208
33,0.3597581116805388,0.2670768580976465,0.2
34,0.34965356080703297,0.2715899389906155,0.168
35,0.35632140044671046,0.3068462824486971,0.344
36,0.3759488043373938,0.23921867515060585,0.219
37,0.36517455922255204,0.30238510521927053,0.292
38,0.3685144258790025,0.26009994022555516,0.201
39,0.36209216122871024,0.2431579415057963,0.221
40,0.36011415005212527,0.25048230328567367,0.19
41,0.37038842964347596,0.27223500765718384,0.266
42,0.37136502536318644,0.25732346362768,0.154
43,0.37441863933380115,0.25443406449159023,0.231
44,0.36067529080119315,0.26858144619031205,0.338
45,0.3647293376460277,0.30154362115657607,0.313
46,0.3781951881628956,0.22488247053506444,0.209
47,0.3581276482066164,0.3232311048635473,0.218
48,0.36808649051642506,0.272837933692263,0.13
49,0.3654707720749376,0.24795106459048175,0.16
50,0.362260313422584,0.29693136067605846,0.19
51,0.3573091133275186,0.29276700140824646,0.141
52,0.3682928917804442,0.26699080298388256,0.207
53,0.36488047226839415,0.30022824536178244,0.205
54,0.36156974521662333,0.26130112707751446,0.202
55,0.3648277738469219,0.2880894029945011,0.254
56,0.37347908755743675,0.25104647796860047,0.243
57,0.36291828094213924,0.29661097006085463,0.133
58,0.37042850919401643,0.24283889826132718,0.196
59,0.36711896981707115,0.2849865788765318,0.169
60,0.36397594631100005,0.3064556065058779,0.225
61,0.3533624299440986,0.29932542195036277,0.246
62,0.36616707768130885,0.2558682655223317,0.219
63,0.36356353170444844,0.23658055079735005,0.248
64,0.36676297949097475,0.26640518296319965,0.156
65,0.36388820304058567,0.25920513947280815,0.195
66,0.36441213707759745,0.2550483432368343,0.202
67,0.3632862696296253,0.2723099408301106,0.292
68,0.35968182003852334,0.24437610800812185,0.192
69,0.3646070124907285,0.2940540629114155,0.182
70,0.366310978067811,0.266007987834687,0.193
71,0.36124126479018565,0.2756084109803435,0.162
72,0.3767502994442924,0.25904758729056027,0.09
73,0.36564798318873726,0.2548642050854803,0.18
74,0.3574024639784795,0.27991310510323775,0.205
75,0.3627165222183558,0.295719678541565,0.155
76,0.36392051442671686,0.28594987678297773,0.216
77,0.3654139885414583,0.2647968553930259,0.228
78,0.3661826663010904,0.2722627277076508,0.219
79,0.38226096740371096,0.2308308861989901,0.131
80,0.35781342231179414,0.24802806778737885,0.263
81,0.3669836812163101,0.27307721467823876,0.146
82,0.37355432808208844,0.22692500524370285,0.29
83,0.3677310005600451,0.2660687369482694,0.273
84,0.3748488508820779,0.28580926013493774,0.199
85,0.3528966203088483,0.31585026671058397,0.247
86,0.3552570187768172,0.3185904941826035,0.176
87,0.36786099066520883,0.2887003015644319,0.192
88,0.36220042056791324,0.26938544754882043,0.223
89,0.36667156869230616,0.2874842521727558,0.21
90,0.3563762986500993,0.3087143906679155,0.192
91,0.3652751252453675,0.26158473498273094,0.205
92,0.37190305816615377,0.2623151777015402,0.301
93,0.37340749400548234,0.24347712213789297,0.101
94,0.36931707304769157,0.2807050566198698,0.212
95,0.36566935301408704,0.30927828341914665,0.244
96,0.36392679020734725,0.2905233520844269,0.245
97,0.3669937172053639,0.27792259593557206,0.161
98,0.3727693319688106,0.23625927231902266,0.252
99,0.37076902384869237,0.28049864448948575,0.218
