trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,26,16,8,16,0.1
2,17,16,8,16,0.1
3,19,16,16,16,0.1
4,16,16,16,16,0.3
5,46,8,16,16,0.2
6,29,8,16,8,0.3
7,38,8,16,8,0.1
8,41,16,16,8,0.2
9,13,8,16,16,0.1
10,15,16,8,8,0.1
11,27,16,8,16,0.3
12,38,16,16,16,0.1
13,39,8,16,8,0.1
14,38,16,8,8,0.2
15,19,16,16,8,0.3
16,8,8,8,16,0.1
17,43,16,16,8,0.2
18,28,8,16,8,0.1
19,37,8,16,8,0.3
20,37,16,16,16,0.1
21,8,16,16,8,0.1
22,19,8,8,8,0.3
23,31,8,16,16,0.2
24,25,8,16,16,0.3
25,31,16,8,16,0.3
26,13,8,8,8,0.1
27,41,16,8,16,0.3
28,40,8,16,8,0.1
29,8,8,16,16,0.1
30,50,16,16,16,0.2
31,31,16,16,8,0.3
32,28,8,8,16,0.2
33,35,8,16,8,0.3
34,37,8,8,8,0.3
35,38,8,16,8,0.2
36,8,8,8,16,0.3
37,6,8,16,16,0.2
38,5,8,8,8,0.3
39,49,16,16,16,0.1
40,38,8,16,8,0.3
41,7,16,8,16,0.1
42,6,16,8,16,0.1
43,15,16,16,8,0.2
44,36,8,16,8,0.1
45,37,8,16,16,0.1
46,9,8,16,16,0.3
47,17,8,8,8,0.1
48,50,16,8,8,0.3
49,11,16,8,8,0.2
