trial_id,hp_latent_space,hp_beta_units,hp_enc_dec_size,hp_delta_units,hp_dropout
0,24,8,16,8,0.2
1,45,16,8,16,0.2
2,13,16,16,16,0.3
3,44,16,8,8,0.2
4,40,8,8,8,0.3
5,14,8,16,8,0.2
6,31,16,16,8,0.3
7,41,16,8,16,0.3
8,33,16,16,8,0.1
9,34,8,16,16,0.3
10,38,16,8,8,0.2
11,36,8,16,8,0.3
12,21,16,8,16,0.3
13,34,16,8,8,0.3
14,42,8,16,16,0.2
15,14,16,8,8,0.2
16,12,8,16,8,0.3
17,6,8,8,16,0.3
18,47,8,16,16,0.1
19,19,16,16,8,0.2
20,21,16,16,8,0.2
21,23,8,8,8,0.1
22,13,8,8,16,0.3
23,47,8,16,8,0.3
24,48,8,16,8,0.3
25,19,16,16,8,0.3
26,29,8,16,16,0.2
27,43,16,8,8,0.2
28,5,8,16,16,0.2
29,19,8,16,8,0.3
30,46,8,8,8,0.3
31,30,16,16,8,0.1
32,9,8,8,16,0.3
33,34,8,8,16,0.1
34,46,16,16,16,0.2
35,47,8,16,8,0.2
36,10,16,8,16,0.3
37,9,8,16,16,0.2
38,6,8,16,8,0.3
39,32,16,8,8,0.3
40,23,8,16,8,0.1
41,16,8,8,8,0.3
42,47,8,16,8,0.1
43,16,16,8,16,0.2
44,19,16,8,16,0.2
45,9,16,8,8,0.1
46,16,16,8,8,0.2
47,5,16,16,8,0.1
48,25,8,16,8,0.3
49,44,16,16,16,0.3
