,experiment,trial,mae,ssim,hist
0,equil_1e-0.5,0,0.2984560509330737,0.2629692276737465,0.93
1,equil_1e-0.5,1,0.2758411857482187,0.2434041707133716,0.92
2,equil_1e-0.5,2,0.2955525890843605,0.1865666389605785,0.937
3,equil_1e-0.5,3,0.2740719162370081,0.2611756387379448,0.964
4,equil_1e-0.5,4,0.2744605164427048,0.2305685848464686,0.91
5,equil_1e-0.5,5,0.274498109099451,0.2382385980088908,0.942
6,equil_1e-0.5,6,0.2868785294851709,0.248425955179723,0.903
7,equil_1e-0.5,7,0.2955587885851475,0.2170816061408516,0.936
8,equil_1e-0.5,8,0.2831575380844531,0.2893878462053392,0.966
9,equil_1e-0.5,9,0.2863179821245586,0.2476445950759578,0.929
10,equil_1e-0.5,10,0.2690064501972798,0.2508190618979729,0.946
11,equil_1e-0.5,11,0.2835179806812032,0.279061273288918,0.961
12,equil_1e-0.5,12,0.2746220950561069,0.2262765561582921,0.947
13,equil_1e-0.5,13,0.2911045756525257,0.2539138925621545,0.958
14,equil_1e-0.5,14,0.2603343264431252,0.3405241553114556,0.966
15,equil_1e-0.5,15,0.2810830391563669,0.2490989486933205,0.949
16,equil_1e-0.5,16,0.2700516522786346,0.3049475873139121,0.96
17,equil_1e-0.5,17,0.2792896013475573,0.2827351241873596,0.954
18,equil_1e-0.5,18,0.2902946043554116,0.254357882820489,0.91
19,equil_1e-0.5,19,0.2645701462434764,0.2963428960718433,0.945
20,equil_1e-0.5,20,0.2673903086114078,0.2653094865320128,0.917
21,equil_1e-0.5,21,0.2854674330394154,0.2630313959860484,0.926
22,equil_1e-0.5,22,0.2794124811736359,0.2401971306792134,0.856
23,equil_1e-0.5,23,0.2925824541414389,0.1563921693385026,0.814
24,equil_1e-0.5,24,0.2729460270600092,0.2442784708061231,0.953
25,equil_1e-0.5,25,0.2861708623026543,0.212171367200549,0.963
26,equil_1e-0.5,26,0.2838741806194277,0.2175600039557969,0.963
27,equil_1e-0.5,27,0.3235919387180699,0.1813767960223684,0.942
28,equil_1e-0.5,28,0.2629347566136241,0.3354240866996612,0.905
29,equil_1e-0.5,29,0.312105324265766,0.132656026185982,0.862
30,equil_1e-0.5,30,0.292646173772886,0.2079147007222291,0.877
31,equil_1e-0.5,31,0.2970418217359534,0.2528827919379758,0.938
32,equil_1e-0.5,32,0.2740788316944022,0.2966539699674487,0.953
33,equil_1e-0.5,33,0.2664977347344785,0.2552727339642752,0.946
34,equil_1e-0.5,34,0.2740064536636566,0.159849507555457,0.893
35,equil_1e-0.5,35,0.2950663855402146,0.1747638214299017,0.894
36,equil_1e-0.5,36,0.3016513014457426,0.1577068469366788,0.886
37,equil_1e-0.5,37,0.2802554231202977,0.3174457293280444,0.976
38,equil_1e-0.5,38,0.296848808273296,0.226979174936874,0.903
39,equil_1e-0.5,39,0.2484455674994653,0.245414986937085,0.908
40,equil_1e-0.5,40,0.2857884121451967,0.2794536937070409,0.931
41,equil_1e-0.5,41,0.2881628468676295,0.2162336918726246,0.952
42,equil_1e-0.5,42,0.2826415660400982,0.2140583028073187,0.886
43,equil_1e-0.5,43,0.2649922490481354,0.3068316942528674,0.962
44,equil_1e-0.5,44,0.2600939350440256,0.3155436895026603,0.883
45,equil_1e-0.5,45,0.2774616624635563,0.2642851128920263,0.931
46,equil_1e-0.5,46,0.2630596143050983,0.2702486805205616,0.902
47,equil_1e-0.5,47,0.270846649808368,0.2962908673388976,0.962
48,equil_1e-0.5,48,0.3091031486266713,0.2018599376666312,0.894
49,equil_1e-0.5,49,0.2787075621156155,0.1750399633828391,0.966
50,equil_1e-0.5,50,0.2997948614851921,0.1783300940082859,0.84
51,equil_1e-0.5,51,0.2697123659452384,0.2976895353142951,0.954
52,equil_1e-0.5,52,0.2851811441028599,0.2361747141691801,0.938
53,equil_1e-0.5,53,0.3133686512911154,0.1437709972645532,0.863
54,equil_1e-0.5,54,0.2829675643701985,0.2912097031358617,0.962
55,equil_1e-0.5,55,0.2757159493298246,0.315577417575306,0.908
56,equil_1e-0.5,56,0.2739633896519282,0.2447406272102953,0.915
57,equil_1e-0.5,57,0.2898786596945416,0.2479289213884327,0.943
58,equil_1e-0.5,58,0.2899441515654016,0.2243894363699837,0.915
59,equil_1e-0.5,59,0.3059049609023306,0.2108468602822879,0.929
60,equil_1e-0.5,60,0.2885952412396943,0.2789880538710484,0.961
61,equil_1e-0.5,61,0.2783422649444567,0.1957062845906428,0.937
62,equil_1e-0.5,62,0.2785105898667595,0.2422267504743301,0.943
63,equil_1e-0.5,63,0.2719648173524142,0.2969416476870498,0.94
64,equil_1e-0.5,64,0.2960510823262706,0.2474297442733074,0.93
65,equil_1e-0.5,65,0.2990610145737133,0.2778150960379938,0.939
