Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00013769000246514136,4.0042385307301744e-05,0.0,3.971706817808922e-05,3.0347359749977436e-06
del_V,0.0,-9.757368761359979e-05,-4.7304193918393956e-05,0.05,0.00010229484334009743,-7.3682234635596695e-06
1,0.005,-0.049179047405591106,-0.08565585436184761,0.0,-0.00046636926220380436,-0.01274908536245026
U,1.0,0.5204312069971002,0.1577814869349688,10.0,0.15955501479330642,0.0020339720981655193
V,-1.0,-0.42799942031556604,-0.016815992900692335,-10.0,-0.2736965317982105,-0.0
U^2,0.0,0.058193163625758125,0.06028269145519114,0.0,0.01753230629804458,-0.0
V^2,0.0,-0.0,-0.0,0.0,-0.2719363383300752,-0.0
UV,0.0,0.0,-0.0,0.0,0.0,0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5429044134957048,-0.12935472411795929,0.0,-0.0,-0.0
V^3,0.0,-0.0,-0.02672880095448372,0.0,-0.0,-0.0
UV^3,0.0,-0.0,-0.01634291744598736,0.0,-0.0,-0.0
U^3V,0.0,0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,0.0,-0.0,0.0,-0.0,-0.0
