Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00013720363986869814,0.0001392540259593847,0.0,4.0774435599208986e-05,4.167957430379404e-05
del_V,0.0,-9.704667126530638e-05,-7.62194260688244e-05,0.05,0.00010042032952910077,6.247752476213422e-05
1,0.005,-0.0486926473322056,-0.06575434705878826,0.0,-0.0029236233574303733,-0.0076158712538812075
U,1.0,0.5176084520705335,0.5000267267478787,10.0,0.16165401175829563,0.1474448207518618
V,-1.0,-0.4221600611067605,-0.37198496048966884,-10.0,-0.2598604007635878,-0.1913040057582401
U^2,0.0,0.050876264098184715,0.07462922982356567,0.0,0.021693883081468808,0.03922096417750281
V^2,0.0,-0.0,-0.0,0.0,-0.2971260589870603,-0.33750662717132535
UV,0.0,0.0,0.0,0.0,0.0,0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5436673114812206,-0.5356921337381643,0.0,-0.0,-0.0
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.078190325872972
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
