Parameters,U_origin,U_obs,U_sim,V_origin,V_obs,V_sim
del_U,0.00028,0.00014061231282442262,0.0001320731636305333,0.0,3.8133372580239944e-05,3.476983138877575e-05
del_V,0.0,-9.633870844817065e-05,-7.781747399744872e-05,0.05,0.00010125596250587958,7.929011058264208e-05
1,0.005,-0.04979441018593236,-0.05990850342437866,0.0,-0.0013765309146511558,-0.0
U,1.0,0.525030914804616,0.45851073661446917,10.0,0.15730902659092583,0.1310090121299185
V,-1.0,-0.42862843698407804,-0.34654822129858137,-10.0,-0.2695767403683244,-0.21118592114900167
U^2,0.0,0.058183270022696465,0.06772116261746348,0.0,0.013844659248366403,0.026250067355999853
V^2,0.0,-0.0,-0.0,0.0,-0.2746247229645687,-0.2577511691174095
UV,0.0,0.0,0.0,0.0,-0.0,-0.0
U^2V,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^2V^2,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3,-1.0,-0.5400359112328792,-0.46327185472179405,0.0,-0.0,-0.0
V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
UV^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V,0.0,0.0,0.0,0.0,-0.0,-0.0
U^3V^2,0.0,-0.0,0.0,0.0,-0.0,-0.0
U^2V^3,0.0,-0.0,-0.0,0.0,-0.0,-0.0
U^3V^3,0.0,0.0,0.0,0.0,-0.0,-0.0
